SNo,HOTEL NAME,CITIES,LOCATION,NUMBER OF REVIEWS,USER RATINGS,STAR RATING,REVIEW SCORE
58,Wonderful 2 bedrooms,Dubai,Dubai,,,2,891 reviews
59,Stylish Sea View 1 Bedroom in Port De La Mer,Dubai,"Beach & Coast, Dubai",,,3,
60,Lovely 2 BR flat in Dubai Marina,Dubai,"Dubai Marina, Dubai",,,4,32 reviews
61,Peaceful 1 BR Flat in Marina,Dubai,"Dubai Marina, Dubai",,,1,
62,GuestReady - Serenity Retreat in Damac Hills,Dubai,Dubai,,,1,82 reviews
63,OFFER! 50% OFF! Funky 2 bed apartment & sleeps 6!,Dubai,Dubai,3 external reviews,Fabulous 8.7,4,
64,Urban Escape-Courtyard View next to Circle Mall,Dubai,Dubai,4 external reviews,Exceptional 9.5,4,33 reviews
65,Refined 1BR at Binghatti Creek Al Jadaf by Deluxe Holiday Homes,Dubai,"Bur Dubai, Dubai",,,5,
66,Maison Privee - Graceful Apt in Prestigious Dubai Hills close to the Golf Course,Dubai,Dubai,,,5,
67,Keysplease Modern 1 BR Apt 151 Residence near Sheikh Zayed 718,Dubai,"Beach & Coast, Dubai",,,2,
68,OFFER! 50% OFF! I am very cool and sleep 6!,Dubai,"Dubai World Central, Dubai",10 external reviews,Exceptional 10,5,
69,Serene 1 Bedroom Apartment Gem,Dubai,Dubai,1 review,10,1,
70,"Studio with Balcony and Burj Views 421 pool, jacuzzi, steam room, sauna, prayer room, grocery delivery",Dubai,"Business Bay, Dubai",,,2,
71,Cosy Studio with Canal Views by Orion Short Stays - 521 Monthly Offer,Dubai,"Business Bay, Dubai",,,4,
72,Upscale Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,Dubai,"Dubai Production City , Dubai",,,1,
73,Enchanting Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,Dubai,"Dubai Production City , Dubai",,,2,
74,Palm Jumeirah 2BR Close to sea,Dubai,"Palm Jumeirah, Dubai",2 reviews,10,4,
75,"Keysplease Modern Beach Studio Murjan 2, JBR P60A",Dubai,"Jumeirah Beach Residence, Dubai",,,5,
76,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Dubai,"Dubai World Central, Dubai",,,1,
77,Vogue JVC - Regina Tower,Dubai,Dubai,1 review,10,2,
78,Work/Relaxation Blend Apartment,Dubai,"Business Bay, Dubai",,,5,
79,Fantastic 3BR Villa - Albizia Damac Hills 2,Dubai,Dubai,36 external reviews,Superb 9.1,1,
80,Keysplease Lovely 1 BR Apt 151 Residence Near Sheikh Zayed 804,Dubai,"Beach & Coast, Dubai",6 external reviews,Exceptional 9.7,2,
81,"Primestay - DAMAC Zada Tower, Business Bay",Dubai,"Business Bay, Dubai",,,3,
82,NEW! Trendy & Chic 1B Apartment Dubai DIFC,Dubai,"Trade Centre, Dubai",2 reviews,2.0,4,
83,Brand New 2 BR w King Beds Free Parking and Wifi,Dubai,Dubai,,,1,
84,"Peaceful Studio in MYKA, Near City Center Meaisem",Dubai,"Dubai Production City , Dubai",1 review,10,1,
85,Marina Metro Upgraded Furnished Studio by EasyGo,Dubai,"Dubai Marina, Dubai",1 review,8.0,4,
86,Luxury 1 Bedroom and Hall with pool view,Dubai,Dubai,,,4,
87,Key View - Bay Central Tower 1,Dubai,"Dubai Marina, Dubai",10 external reviews,Fabulous 8.8,5,
88,"Key View - Panaromic Tower, Dubai Marina",Dubai,"Dubai Marina, Dubai",5 external reviews,Good 7.6,5,
89,Elegant One Bed Room Apartment,Dubai,"Al Barsha, Dubai",3 external reviews,Exceptional 10,2,
90,Charming Condo With Balcony Near Dubai Hills Park,Dubai,Dubai,1 review,7.0,5,
91,Luxurious 3bhk Villa in Dubai,Dubai,"Dubai World Central, Dubai",1 review,10,1,
92,Modern and stylish 1 bedroom in Belgravia Heights 1 jvc,Dubai,Dubai,,,2,
93,Colorful Apartment with a Gorgeous Marina View,Dubai,"Dubai Marina, Dubai",,,4,
94,Silkhaus The Greens neighborhood newly furnished 1BDR,Dubai,"The Greens, Dubai",1 review,10,1,
95,GuestReady - Lux interiors in Dubai Marina,Dubai,"Dubai Marina, Dubai",3 external reviews,Exceptional 10,2,
96,Relaxing Golf Retreat by Suiteable Interiors,Dubai,Dubai,12 external reviews,Exceptional 9.8,4,
97,LHG PALM JUMEIRAH Tallest RoofTop Pool,Dubai,"Palm Jumeirah, Dubai",5 external reviews,Exceptional 10,5,
98,Cozy studio in al mamzar,Dubai,Dubai,1 review,2.0,1,
99,"Modern Elegance, Panoramic Views -brand New 1 Bd",Dubai,Dubai,7 external reviews,Exceptional 10,2,
100,Splendid Studio At Blue Wave Tower Dubailand by Deluxe Holiday Homes,Dubai,Dubai,3 external reviews,Superb 9.3,5,
101,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Dubai,"Dubai World Central, Dubai",,,1,
102,GuestReady - Rose Tint Eyes in Business Bay,Dubai,"Business Bay, Dubai",,,2,
103,One Bedroom Apartment- IMPZ,Dubai,"Dubai Production City , Dubai",,,3,
104,Burj Al Arab Lamtara by EasyGo,Dubai,"Umm Suqeim, Dubai",6 external reviews,Exceptional 10,4,
105,GuestReady - Stunning canal and Burj Khalifa view,Dubai,"Business Bay, Dubai",6 external reviews,Exceptional 10,1,
106,Key View - Botanica Tower,Dubai,"Dubai Marina, Dubai",,,1,
107,Letstay - Peaceful Apartment With Pool Views in Cappadocia,Dubai,Dubai,1 review,8.0,4,
108,Enjoy modern and trendy apt at the heart of Dubai,Dubai,Dubai,1 review,10,4,
109,Waterfront Marina Promenade Premium By Your Perfect Short Lets Dubai With Luxury Balcony Fast WIFI POOL,Dubai,"Dubai Marina, Dubai",1 review,10,5,
110,Manzil - Large Studio in Downtown Dubai with Burj Khalifa views,Dubai,"Business Bay, Dubai",,,5,
111,Ravishing 2BR APT with Dazzling Views @Sunrise Bay,Dubai,"Palm Jumeirah, Dubai",3 external reviews,Exceptional 10,2,
112,Luke Stays - Marina Diamond,Dubai,"Dubai Marina, Dubai",,,5,
113,Unique Cosy &Spacious 2BR In Al Sufouh,Dubai,"Al Sufouh, Dubai",1 review,6.0,1,
114,Luxury 1bdr in Sobha Creek Vistas Reserve,Dubai,Dubai,1 review,10,2,
115,Lively Studio at DAMAC Celestia A Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",,,4,
116,Key View - Lakeshore Tower 1,Dubai,"Jumeirah Lakes Towers, Dubai",4 external reviews,Very good 8.0,1,
117,Primestay - Reehan 1 2BR in Old Town,Dubai,"Downtown Dubai, Dubai",,,2,
118,"Lake View Villa, The Springs Dubai",Dubai,Dubai,1 review,9.0,4,
119,"Studio flat DG089, Close to The Gardens Metro 3 min walkable",Dubai,"Discovery Gardens, Dubai",,,5,
120,"Silverene Tower B, Dubai Marina - Vacationer",Dubai,"Dubai Marina, Dubai",1 review,8.0,1,
121,Modern Living Suites Dubai,Dubai,Dubai,2 reviews,10,2,
122,Beautiful 1 bedroom Marina View,Dubai,"Dubai Marina, Dubai",,,5,
123,OFFER! 50%! GIVEN! Cool studio near all you need!,Dubai,"Jumeirah Lakes Towers, Dubai",5 external reviews,Very good 8.4,1,
124,Dont book,Dubai,Dubai,16 external reviews,Superb 9.0,2,
125,September sale! Evasofia Home at The Address Marina,Dubai,"Dubai Marina, Dubai",3 external reviews,Exceptional 10,3,
126,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Dubai,"Dubai World Central, Dubai",,,4,
127,Rare Holiday Homes offer Pool View Studio in Crescent Tower near City Center Mall - CTA 703,Dubai,"Dubai Production City , Dubai",,,1,
128,Letstay - Exclusive Apartment With Pool and City Views,Dubai,Dubai,,,1,
129,"RH- Voguish, Studio in Downtown, near Burj Khalifa",Dubai,"Downtown Dubai, Dubai",,,4,
130,Livbnb Suites - Tailor-Made 1BR - Merano Tower,Dubai,"Business Bay, Dubai",,,4,
131,Gracious 1BR at The Pulse Residence Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",3 external reviews,Good 7.3,5,
132,Modern Lux 1 Bedroom with Golf Views in DAMAC Hills,Dubai,Dubai,3 reviews,9.7,4,
133,Phenomenal 2BR with Scenic Sea-View from ALL rooms!,Dubai,"Beach & Coast, Dubai",,,5,
134,Perfect location in Marina View of Marina and City,Dubai,"Dubai Marina, Dubai",58 external reviews,Exceptional 9.7,1,
135,SuperHost - Stylish Apartment Facing Creek Harbour,Dubai,Dubai,1 review,9.0,2,
136,"Lovely Studio, Fully Upgraded, Partial Lake View",Dubai,"Dubai Marina, Dubai",,,5,
137,Chestertons Go - Burj Vista - Fountain Views,Dubai,"Downtown Dubai, Dubai",,,1,
138,Primestay - Mulberry B1 Dubai Hills Estate,Dubai,Dubai,,,2,
139,Primestay - Mirdif Hills C,Dubai,Dubai,,,3,
140,Primestay - Creekside 18B in Creek Harbour,Dubai,Dubai,1 review,6.0,4,
141,Charming 1BR at Al Khail Heights Al Quoz by Deluxe Holiday Homes,Dubai,Dubai,3 external reviews,Exceptional 10,1,
142,Lavish 1-BR Apartment Near Burj ALArab at Rahaal 2,Dubai,"Umm Suqeim, Dubai",5 external reviews,Exceptional 10,1,
143,"Keysplease Luxury 1 BR Creek Gate Apt, Creek Harbour",Dubai,Dubai,1 review,3.0,4,
144,Remarkable Studio at The Manhattan Jumeirah Village Circle by Deluxe Holiday Homes,Dubai,Dubai,5 external reviews,Good 7.2,4,
145,"Fully-furbished, modern apartment in Business Bay.",Dubai,"Business Bay, Dubai",1 review,10,5,
146,Rare Holiday Homes Offering you a Stylish Studio Close to Mall in Crescent Tower -R1611 IMPZ,Dubai,"Dubai Production City , Dubai",1 review,8.0,5,
147,"Keysplease Beautiful, Modern 3 B/R Bluewaters Island",Dubai,"Beach & Coast, Dubai",,,2,
148,Peaceful 1BR at Binghatti Avenue Al Jaddaf by Deluxe Holiday Homes,Dubai,"Bur Dubai, Dubai",,,5,
149,"SHH - Furnished Studio in Azizi Samia, Al Furjan",Dubai,Dubai,1 review,4.0,1,
150,GuestReady - Beautiful Getaway near Dubai Canal,Dubai,"Business Bay, Dubai",1 review,5.0,2,
151,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Dubai,"Dubai World Central, Dubai",,,4,
152,Welcoming Studio in Damac Hills Carson B,Dubai,Dubai,4 external reviews,Very good 8.5,1,
153,Luxe Studio at The Pulse Residence Icon A2 Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",6 external reviews,Fabulous 8.7,2,
154,Keyview - Lakeside C,Dubai,"Dubai Production City , Dubai",1 review,1.0,4,
155,Pristine & Comfort 1 Bed in JVC,Dubai,Dubai,1 review,9.0,5,
156,Sophisticated 1BR at Town Square Rawda Dubailand by Deluxe Holiday Homes,Dubai,Dubai,2 reviews,8.5,1,
157,Lovely One bedroom with Pool and Gym,Dubai,Dubai,,,2,
158,"Cheerful 3BR Townhouse at DAMAC Hills 2, Dubailand by Deluxe Holiday Homes",Dubai,Dubai,3 external reviews,Very good 8.0,5,
159,Elegantly Designed Studio at Sobha Hartlands,Dubai,Dubai,,,1,
160,Urban 1BR at Binghatti Stars Dubai Silicon Oasis by Deluxe Holiday Homes,Dubai,"Dubai Silicon Oasis, Dubai",,,2,
161,Hashtag Holiday Home - 2 BDR apartment close to beach JBR,Dubai,"Jumeirah Beach Residence, Dubai",2 reviews,2.5,3,
162,ALH Vacay - IMPZ Lago Vista C,Dubai,"Dubai Production City , Dubai",,,4,
163,ALH Vacay - DAMAC Celestia B Dubai South,Dubai,"Dubai World Central, Dubai",1 review,8.0,1,
164,Refreshing Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Dubai,"Bur Dubai, Dubai",3 external reviews,Fabulous 8.7,1,
165,Jovial Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Dubai,"Bur Dubai, Dubai",,,4,
166,"Silkhaus gorgeous 1BDR home with Canal views, pool & gym access",Dubai,"Business Bay, Dubai",14 external reviews,Exceptional 9.7,4,
167,Restful Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Dubai,"Bur Dubai, Dubai",1 review,7.0,5,
168,Redmenn1 bed 5min to the beach,Dubai,"Beach & Coast, Dubai",,,4,
169,Cosy Brand New Studio in Business Bay,Dubai,"Business Bay, Dubai",2 reviews,3.0,5,
170,GuestReady - Afterlight Roses,Dubai,"Business Bay, Dubai",1 review,10,1,
171,Keysplease Murjan 2 One Bedroom w Balcony 59B,Dubai,"Jumeirah Beach Residence, Dubai",8 external reviews,Superb 9.0,2,
172,Superb Studio at Damac Celestia A Dubai South By Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",1 review,10,5,
173,"Holiday Boulevard - One Bedroom Apartment with Sofa Bed, Pool, Gym, Balcony Views",Dubai,Dubai,,,1,
174,Ornate 2BR at Ocean Heights Dubai Marina By Deluxe Holiday Homes,Dubai,"Dubai Marina, Dubai",3 reviews,8.7,2,
175,Elegant 1BR at UNA B Town Square Dubailand By Deluxe Holiday Homes,Dubai,Dubai,,,3,
176,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Dubai,"Dubai World Central, Dubai",,,4,
177,KeyOne - Studio in Al Jawhara 1,Dubai,Dubai,,,1,
178,"Affluent 3BR Townhouse at DAMAC Hills 2, Dubailand by Deluxe Holiday Homes",Dubai,Dubai,4 external reviews,Very good 8.5,1,
179,Modern Chic 1 Bedroom Apartment - Discovery Gardens,Dubai,"Discovery Gardens, Dubai",1 review,2.0,4,
180,GuestReady - The Aquatic Blossom,Dubai,Dubai,20 external reviews,Superb 9.3,4,
181,Charming Studio at Al Jawhara Tower Jumeirah Village Triangle by Deluxe Holiday Homes,Dubai,Dubai,1 review,7.0,5,
182,Cosmopolitan Studio at Signature Livings North JVC by Deluxe Holiday Homes,Dubai,Dubai,,,5,
183,Urban Studio at UNA Town Square Dubailand By Deluxe Holiday Homes,Dubai,Dubai,6 external reviews,Very good 8.3,2,
184,Silkhaus cozy studio in heart of DIFC Burj Daman,Dubai,"Trade Centre, Dubai",1 review,1.0,5,
185,"151 Residences Studios, Jumeirah Garden City, Sheikh Zayed Rd 812",Dubai,"Beach & Coast, Dubai",3 reviews,8.7,1,
186,Serene Studio in Elite Residences 4 Sports City by Deluxe Holiday Homes,Dubai,Dubai,,,2,
187,Elegant Studio in Al Jawhara Tower by Deluxe Holiday Homes,Dubai,Dubai,4 external reviews,Superb 9.0,4,
188,Ideal 1BR at The Pulse Residence Icon A1 Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",1 review,8.0,1,
189,Fresh 1BR at Safi 1B Town Square Dubailand by Deluxe Holiday Homes,Dubai,Dubai,,,2,
190,Welcoming Studio at Ghalia Jumeirah Village Circle by Deluxe Holiday Homes,Dubai,Dubai,1 review,10,4,
191,Spell-binding 3BR Townhouse at DAMAC Hills 2 Dubailand by Deluxe Holiday Homes,Dubai,Dubai,1 review,7.0,5,
192,Charismatic 3BR Townhouse at DAMAC Hills 2 Dubailand by Deluxe Holiday Homes,Dubai,Dubai,2 reviews,7.5,1,
193,Modern Studio at Bayz by Danube Business Bay by Deluxe Holiday Homes,Dubai,"Business Bay, Dubai",3 external reviews,Review score 5.3,2,
194,Alluring 1BR at The Pulse Blvd C3 Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",,,5,
195,Lovely 1 bedroom vacation home in Dubai Marina,Dubai,"Dubai Marina, Dubai",1 review,10,1,
196,The 5242 Tower 1 Dubai Marina - AL Maraseem,Dubai,"Dubai Marina, Dubai",,,2,
197,Sleek Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Dubai,"Bur Dubai, Dubai",,,3,
198,Radiant Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Dubai,"Bur Dubai, Dubai",4 reviews,7.3,4,
199,GuestReady - The Wandering Oasis in Town Square,Dubai,Dubai,7 external reviews,Good 7.7,1,
200,Glamorous Studio at Binghatti Stars Dubai Silicon Oasis by Deluxe Holiday Homes,Dubai,"Dubai Silicon Oasis, Dubai",4 reviews,6.5,1,
201,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Dubai,"Dubai World Central, Dubai",,,4,
202,Chic Studio at UNA B Town Square by Deluxe Holiday Homes,Dubai,Dubai,,,4,
203,Restful Studio at Celestia A Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",2 reviews,4.0,5,
204,Radiant Studio at Giovanni Boutique Suites DSC by Deluxe Holiday Homes,Dubai,Dubai,1 review,9.0,4,
205,Peaceful 1BR at MAG 505 Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",,,5,
206,Calm 3BR Townhouse at Damac Hills 2 Dubailand by Deluxe Holiday Homes,Dubai,Dubai,,,1,
207,Attractive Studio at Bloom Towers JVC by Deluxe Holiday Homes,Dubai,Dubai,1 review,10,2,
208,Tranquil Studio at Madison Astor Mohammed Bin Rashid City by Deluxe Holiday Homes,Dubai,Dubai,,,5,
209,Cordial 1BR at Celestia B Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",1 review,5.0,1,
210,Stella Stays Mesmerising 1 BDR Dubai JVC Private Balcony,Dubai,Dubai,1 review,4.0,2,
211,Sunny 1BR at Canal Residences West Dubai Sports City by Deluxe Holiday Homes,Dubai,Dubai,3 reviews,9.7,3,
212,Stella Stays Divine Studio Dubai JVC Private Balcony,Dubai,Dubai,1 review,1.0,4,
213,Stella Stays Charming 1 BDR Dubai JVC Private Balcony,Dubai,Dubai,,,1,
214,Cozy Studio in Damac Celestia A Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",1 review,5.0,1,
215,Snug 1BR at MAG 520 Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",1 review,5.0,4,
216,Chic 1BR in Town Square UNA Dubailand by Deluxe Holiday Homes,Dubai,Dubai,1 review,8.0,4,
217,Gentle Studio in Uniestate Sports Tower Dubai Sports City by Deluxe Holiday Homes,Dubai,Dubai,2 reviews,8.0,5,
218,Stella Stays Cheerful 1 BDR Dubai JVC Private Balcony,Dubai,Dubai,1 review,10,5,
219,Stella Stays Bright 2 BDR Dubai JVC Private Balcony,Dubai,Dubai,,,2,
220,Urban Studio in Pantheon Elysee JVC by Deluxe Holiday Homes,Dubai,Dubai,2 reviews,4.5,5,
221,Gleeful 1BR in Bella Rose Al Barsha South by Deluxe Holiday Homes,Dubai,Dubai,3 external reviews,Exceptional 10,1,
222,Sleek Studio Apartment at Celestia Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",3 external reviews,Very good 8.0,2,
223,Sleek 1BR Apartment at Celestia Dubai South by Deluxe Holiday Homes,Dubai,"Dubai World Central, Dubai",5 external reviews,Good 7.0,4,
224,"Exceptional 1BR in MAG 5, Emaar South by Deluxe Holiday Homes",Dubai,"Dubai World Central, Dubai",6 external reviews,Good 7.3,1,
225,Spacious Studio - Sports city - Diamond,Dubai,Dubai,1 review,3.0,2,
226,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Dubai,"Dubai World Central, Dubai",,,4,
227,BELLEVUE Downtown Dubai,Dubai,"Downtown Dubai, Dubai",,,5,
228,FAM Living - Park Towers - DIFC,Dubai,"Trade Centre, Dubai",1 review,10,1,
229,"One Perfect Stay - Executive Tower, Business bay",Dubai,"Business Bay, Dubai",1 review,5.0,2,
230,Restful 1BR at Mediterranean Discovery Gardens by Deluxe Holiday Homes,Dubai,"Discovery Gardens, Dubai",,,5,
231,"Bright Furnished Studio Apartment, JLT",Dubai,"Jumeirah Lakes Towers, Dubai",,,1,
232,Spacious 2BR in Marina Near Beach,Dubai,"Dubai Marina, Dubai",,,2,
233,FAM Living - REVA Residences - Weekly and Monthly Offers,Dubai,"Business Bay, Dubai",,,3,
234,Cozy 1BR at Torch Tower Dubai Marina by Deluxe Holiday Homes,Dubai,"Dubai Marina, Dubai",,,4,
235,1BR Apartment in Zada Tower - Close to Metro,Dubai,"Business Bay, Dubai",,,1,
236,Cozy apartment with a pool view,Dubai,Dubai,5 reviews,9.2,1,
237,AWS Homes - Studio w high speed WI-FI & Pool at Azizi Star,Dubai,Dubai,,,4,
238,Coastal Bay 1 Bedroom,Dubai,"Business Bay, Dubai",,,4,
239,Urban Studio at The Square Tower Jumeirah Village Circle by Deluxe Holiday Homes,Dubai,Dubai,2 reviews,6.5,5,
240,Pristine Studio at Bayz by Danube Business Bay by Deluxe Holiday Homes,Dubai,"Business Bay, Dubai",,,4,
241,Brand new stylish Studio in Belgravia Heights 1 JVC,Dubai,Dubai,,,5,
242,Ivory Dew 1 Bedroom Apartment,Dubai,Dubai,,,1,
243,Brand New Villa,Dubai,Dubai,,,2,
244,Prime Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,Dubai,"Dubai Production City , Dubai",,,5,
245,GuestReady - Family Apt in Riviera,Dubai,Dubai,,,1,
246,5 Star hotel resort style living!,Dubai,"Palm Jumeirah, Dubai",18 external reviews,Fabulous 8.7,2,
247,JRR Stays - Bloom Tower C1708 - Jumeirah Village Circle - Dubai JVC,Dubai,Dubai,3 reviews,8.7,3,
248,Brand New Marina Opal Huge 1BR,Dubai,"Dubai Marina, Dubai",4 external reviews,Exceptional 10,4,
249,Lovely studio in Business Bay,Dubai,"Business Bay, Dubai",,,1,
250,GuestReady - An endless place in Dubai Marina,Dubai,"Jumeirah Beach Residence, Dubai",,,1,
251,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Dubai,"Dubai World Central, Dubai",,,4,
