S NO,HOTEL NAME,FREE WIFI,FAMILY ROOMS,NON SMOKING ROOMS,RESTAURANT,BAR,HEATING,LIFT,BREAKFAST CUISINE 1,BREAKFAST CUISINE 2,BREAKFAST CUISINE 3
48,Damac Hills Luxury Apartment,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
49,Bay Central Tower- Dubai Marina,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
50,"Sun-Kissed, Luxurious One-Bedroom Apartment",NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
51,"Comfy 1BR Apartment, Dream Tower 1, Dubai Marina",NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
52,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
53,Soothing 1BR at Safi 1B Town Square Dubailand by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
54,2BR Oasis in Damac Towers by Livbnb,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
55,Stay Holiday Homes by Al Ghurair - Centrium Tower - IMPZ-15 Mins to Expo Dubai,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
56,Mira Holiday Homes - Newly 1 bedroom in Business Bay,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
57,P-03 G-8 The Center Residence Building,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
58,"10' to Burj Khalifa, Pool ,Wifi - Sobha Waves - Dubaï",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
59,Wonderful 2 bedrooms,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
60,Stylish Sea View 1 Bedroom in Port De La Mer,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
61,Lovely 2 BR flat in Dubai Marina,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
62,Peaceful 1 BR Flat in Marina,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
63,GuestReady - Serenity Retreat in Damac Hills,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
64,OFFER! 50% OFF! Funky 2 bed apartment & sleeps 6!,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
65,Urban Escape-Courtyard View next to Circle Mall,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
66,Refined 1BR at Binghatti Creek Al Jadaf by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
67,Maison Privee - Graceful Apt in Prestigious Dubai Hills close to the Golf Course,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
68,Keysplease Modern 1 BR Apt 151 Residence near Sheikh Zayed 718,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
69,OFFER! 50% OFF! I am very cool and sleep 6!,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
70,Serene 1 Bedroom Apartment Gem,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
71,"Studio with Balcony and Burj Views 421 pool, jacuzzi, steam room, sauna, prayer room, grocery delivery",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
72,Cosy Studio with Canal Views by Orion Short Stays - 521 Monthly Offer,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
73,Upscale Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
74,Enchanting Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
75,Palm Jumeirah 2BR Close to sea,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
76,"Keysplease Modern Beach Studio Murjan 2, JBR P60A",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
77,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
78,Vogue JVC - Regina Tower,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
79,Work/Relaxation Blend Apartment,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
80,Fantastic 3BR Villa - Albizia Damac Hills 2,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
81,Keysplease Lovely 1 BR Apt 151 Residence Near Sheikh Zayed 804,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
82,"Primestay - DAMAC Zada Tower, Business Bay",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
83,NEW! Trendy & Chic 1B Apartment Dubai DIFC,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
84,Brand New 2 BR w King Beds Free Parking and Wifi,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
85,"Peaceful Studio in MYKA, Near City Center Meaisem",YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
86,Marina Metro Upgraded Furnished Studio by EasyGo,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
87,Luxury 1 Bedroom and Hall with pool view,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
88,Key View - Bay Central Tower 1,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
89,"Key View - Panaromic Tower, Dubai Marina",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
90,Elegant One Bed Room Apartment,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
91,Charming Condo With Balcony Near Dubai Hills Park,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
92,Luxurious 3bhk Villa in Dubai,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
93,Modern and stylish 1 bedroom in Belgravia Heights 1 jvc,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
94,Colorful Apartment with a Gorgeous Marina View,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
95,Silkhaus The Greens neighborhood newly furnished 1BDR,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
96,GuestReady - Lux interiors in Dubai Marina,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
97,Relaxing Golf Retreat by Suiteable Interiors,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
98,LHG PALM JUMEIRAH Tallest RoofTop Pool,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
99,Cozy studio in al mamzar,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
100,"Modern Elegance, Panoramic Views -brand New 1 Bd",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
101,Splendid Studio At Blue Wave Tower Dubailand by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
102,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
103,GuestReady - Rose Tint Eyes in Business Bay,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
104,One Bedroom Apartment- IMPZ,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
105,Burj Al Arab Lamtara by EasyGo,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
106,GuestReady - Stunning canal and Burj Khalifa view,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
107,Key View - Botanica Tower,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
108,Letstay - Peaceful Apartment With Pool Views in Cappadocia,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
109,Enjoy modern and trendy apt at the heart of Dubai,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
110,Waterfront Marina Promenade Premium By Your Perfect Short Lets Dubai With Luxury Balcony Fast WIFI POOL,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
111,Manzil - Large Studio in Downtown Dubai with Burj Khalifa views,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
112,Ravishing 2BR APT with Dazzling Views @Sunrise Bay,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
113,Luke Stays - Marina Diamond,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
114,Unique Cosy &Spacious 2BR In Al Sufouh,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
115,Luxury 1bdr in Sobha Creek Vistas Reserve,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
116,Lively Studio at DAMAC Celestia A Dubai South by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
117,Key View - Lakeshore Tower 1,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
118,Primestay - Reehan 1 2BR in Old Town,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
119,"Lake View Villa, The Springs Dubai",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
120,"Studio flat DG089, Close to The Gardens Metro 3 min walkable",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
121,"Silverene Tower B, Dubai Marina - Vacationer",YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
122,Modern Living Suites Dubai,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
123,Beautiful 1 bedroom Marina View,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
124,OFFER! 50%! GIVEN! Cool studio near all you need!,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
125,Dont book,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
126,September sale! Evasofia Home at The Address Marina,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
127,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
128,Rare Holiday Homes offer Pool View Studio in Crescent Tower near City Center Mall - CTA 703,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
129,Letstay - Exclusive Apartment With Pool and City Views,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
130,"RH- Voguish, Studio in Downtown, near Burj Khalifa",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
131,Livbnb Suites - Tailor-Made 1BR - Merano Tower,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
132,Gracious 1BR at The Pulse Residence Dubai South by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
133,Modern Lux 1 Bedroom with Golf Views in DAMAC Hills,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
134,Phenomenal 2BR with Scenic Sea-View from ALL rooms!,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
135,Perfect location in Marina View of Marina and City,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
136,SuperHost - Stylish Apartment Facing Creek Harbour,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
137,"Lovely Studio, Fully Upgraded, Partial Lake View",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
138,Chestertons Go - Burj Vista - Fountain Views,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
139,Primestay - Mulberry B1 Dubai Hills Estate,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
140,Primestay - Mirdif Hills C,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
141,Primestay - Creekside 18B in Creek Harbour,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
142,Charming 1BR at Al Khail Heights Al Quoz by Deluxe Holiday Homes,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
143,Lavish 1-BR Apartment Near Burj ALArab at Rahaal 2,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
144,"Keysplease Luxury 1 BR Creek Gate Apt, Creek Harbour",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
145,Remarkable Studio at The Manhattan Jumeirah Village Circle by Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
146,"Fully-furbished, modern apartment in Business Bay.",NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
147,Rare Holiday Homes Offering you a Stylish Studio Close to Mall in Crescent Tower -R1611 IMPZ,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
148,"Keysplease Beautiful, Modern 3 B/R Bluewaters Island",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
149,Peaceful 1BR at Binghatti Avenue Al Jaddaf by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
150,"SHH - Furnished Studio in Azizi Samia, Al Furjan",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
151,GuestReady - Beautiful Getaway near Dubai Canal,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
152,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
153,Welcoming Studio in Damac Hills Carson B,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
154,Luxe Studio at The Pulse Residence Icon A2 Dubai South by Deluxe Holiday Homes,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
155,Keyview - Lakeside C,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
156,Pristine & Comfort 1 Bed in JVC,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
157,Sophisticated 1BR at Town Square Rawda Dubailand by Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
158,Lovely One bedroom with Pool and Gym,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
159,"Cheerful 3BR Townhouse at DAMAC Hills 2, Dubailand by Deluxe Holiday Homes",NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
160,Elegantly Designed Studio at Sobha Hartlands,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
161,Urban 1BR at Binghatti Stars Dubai Silicon Oasis by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
162,Hashtag Holiday Home - 2 BDR apartment close to beach JBR,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
163,ALH Vacay - IMPZ Lago Vista C,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
164,ALH Vacay - DAMAC Celestia B Dubai South,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
165,Refreshing Studio at Sky Gardens DIFC by Deluxe Holiday Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
166,Jovial Studio at Sky Gardens DIFC by Deluxe Holiday Homes,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
167,"Silkhaus gorgeous 1BDR home with Canal views, pool & gym access",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
168,Restful Studio at Sky Gardens DIFC by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
169,Redmenn1 bed 5min to the beach,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
170,Cosy Brand New Studio in Business Bay,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
171,GuestReady - Afterlight Roses,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
172,Keysplease Murjan 2 One Bedroom w Balcony 59B,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
173,Superb Studio at Damac Celestia A Dubai South By Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
174,"Holiday Boulevard - One Bedroom Apartment with Sofa Bed, Pool, Gym, Balcony Views",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
175,Ornate 2BR at Ocean Heights Dubai Marina By Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
176,Elegant 1BR at UNA B Town Square Dubailand By Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
177,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
178,KeyOne - Studio in Al Jawhara 1,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
179,"Affluent 3BR Townhouse at DAMAC Hills 2, Dubailand by Deluxe Holiday Homes",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
180,Modern Chic 1 Bedroom Apartment - Discovery Gardens,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
181,GuestReady - The Aquatic Blossom,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
182,Charming Studio at Al Jawhara Tower Jumeirah Village Triangle by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
183,Cosmopolitan Studio at Signature Livings North JVC by Deluxe Holiday Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
184,Urban Studio at UNA Town Square Dubailand By Deluxe Holiday Homes,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
185,Silkhaus cozy studio in heart of DIFC Burj Daman,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
186,"151 Residences Studios, Jumeirah Garden City, Sheikh Zayed Rd 812",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
187,Serene Studio in Elite Residences 4 Sports City by Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
188,Elegant Studio in Al Jawhara Tower by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
189,Ideal 1BR at The Pulse Residence Icon A1 Dubai South by Deluxe Holiday Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
190,Fresh 1BR at Safi 1B Town Square Dubailand by Deluxe Holiday Homes,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
191,Welcoming Studio at Ghalia Jumeirah Village Circle by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
192,Spell-binding 3BR Townhouse at DAMAC Hills 2 Dubailand by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
193,Charismatic 3BR Townhouse at DAMAC Hills 2 Dubailand by Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
194,Modern Studio at Bayz by Danube Business Bay by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
195,Alluring 1BR at The Pulse Blvd C3 Dubai South by Deluxe Holiday Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
196,Lovely 1 bedroom vacation home in Dubai Marina,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
197,The 5242 Tower 1 Dubai Marina - AL Maraseem,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
198,Sleek Studio at Sky Gardens DIFC by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
199,Radiant Studio at Sky Gardens DIFC by Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
200,GuestReady - The Wandering Oasis in Town Square,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
201,Glamorous Studio at Binghatti Stars Dubai Silicon Oasis by Deluxe Holiday Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
202,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
203,Chic Studio at UNA B Town Square by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
204,Restful Studio at Celestia A Dubai South by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
205,Radiant Studio at Giovanni Boutique Suites DSC by Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
206,Peaceful 1BR at MAG 505 Dubai South by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
207,Calm 3BR Townhouse at Damac Hills 2 Dubailand by Deluxe Holiday Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
208,Attractive Studio at Bloom Towers JVC by Deluxe Holiday Homes,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
209,Tranquil Studio at Madison Astor Mohammed Bin Rashid City by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
210,Cordial 1BR at Celestia B Dubai South by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
211,Stella Stays Mesmerising 1 BDR Dubai JVC Private Balcony,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
212,Sunny 1BR at Canal Residences West Dubai Sports City by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
213,Stella Stays Divine Studio Dubai JVC Private Balcony,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
214,Stella Stays Charming 1 BDR Dubai JVC Private Balcony,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
215,Cozy Studio in Damac Celestia A Dubai South by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
216,Snug 1BR at MAG 520 Dubai South by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
217,Chic 1BR in Town Square UNA Dubailand by Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
218,Gentle Studio in Uniestate Sports Tower Dubai Sports City by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
219,Stella Stays Cheerful 1 BDR Dubai JVC Private Balcony,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
220,Stella Stays Bright 2 BDR Dubai JVC Private Balcony,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
221,Urban Studio in Pantheon Elysee JVC by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
222,Gleeful 1BR in Bella Rose Al Barsha South by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
223,Sleek Studio Apartment at Celestia Dubai South by Deluxe Holiday Homes,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
224,Sleek 1BR Apartment at Celestia Dubai South by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
225,"Exceptional 1BR in MAG 5, Emaar South by Deluxe Holiday Homes",NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
226,Spacious Studio - Sports city - Diamond,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
227,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
228,BELLEVUE Downtown Dubai,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
229,FAM Living - Park Towers - DIFC,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
230,"One Perfect Stay - Executive Tower, Business bay",NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
