SNO,HOTEL NAME,ROOM TYPE ,SINGLE BED,DOUBLE BED,PRICES,,,,
41,"Budget-friendly,green Community-5mins From Metro",Boats,NO,YES,5200,,,,
42,Chic Studio in Art Gardens Modern Living,Luxury tents,YES,YES,6500,,,,
43,Frank Porter - Shaista by Azizi,Bed and breakfasts,YES,YES,2300,,,,
44,Silkhaus modern 1BDR in Belgravia Heights with pool & gym,Campsites,YES,YES,6500,,,,
45,Luxurious 1 BHK Flat with Burj Khalifa View,Capsule hotels,YES,NO,8600,,,,
46,Trophy - Lakefront Luxe Suite,Homestays,NO,NO,5200,,,,
47,Signature Holiday Homes - Fully Furnished Studio Apartment in Tower 108,Guest houses,NO,YES,6500,,,,
48,Damac Hills Luxury Apartment,Hostels,YES,YES,2300,,,,
49,Bay Central Tower- Dubai Marina,Boats,YES,YES,6500,,,,
50,"Sun-Kissed, Luxurious One-Bedroom Apartment",Luxury tents,YES,YES,8600,,,,
51,"Comfy 1BR Apartment, Dream Tower 1, Dubai Marina",Bed and breakfasts,YES,NO,5200,,,,
52,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Campsites,NO,NO,6500,,,,
53,Soothing 1BR at Safi 1B Town Square Dubailand by Deluxe Holiday Homes,Capsule hotels,NO,YES,2300,,,,
54,2BR Oasis in Damac Towers by Livbnb,Villas,YES,YES,6500,,,,
55,Stay Holiday Homes by Al Ghurair - Centrium Tower - IMPZ-15 Mins to Expo Dubai,Holiday homes,YES,YES,8600,,,,
56,Mira Holiday Homes - Newly 1 bedroom in Business Bay,Resorts,YES,YES,5200,,,,
57,P-03 G-8 The Center Residence Building,Homestays,YES,NO,6500,,,,
58,"10' to Burj Khalifa, Pool ,Wifi - Sobha Waves - Dubaï",Guest houses,NO,NO,2300,,,,
59,Wonderful 2 bedrooms,Hostels,NO,YES,6500,,,,
60,Stylish Sea View 1 Bedroom in Port De La Mer,Boats,YES,YES,8600,,,,
61,Lovely 2 BR flat in Dubai Marina,Luxury tents,YES,YES,5200,,,,
62,Peaceful 1 BR Flat in Marina,Bed and breakfasts,YES,YES,6500,,,,
63,GuestReady - Serenity Retreat in Damac Hills,Campsites,YES,NO,2300,,,,
64,OFFER! 50% OFF! Funky 2 bed apartment & sleeps 6!,Capsule hotels,NO,NO,6500,,,,
65,Urban Escape-Courtyard View next to Circle Mall,Homestays,NO,YES,8600,,,,
66,Refined 1BR at Binghatti Creek Al Jadaf by Deluxe Holiday Homes,Guest houses,YES,YES,5200,,,,
67,Maison Privee - Graceful Apt in Prestigious Dubai Hills close to the Golf Course,Hostels,YES,YES,6500,,,,
68,Keysplease Modern 1 BR Apt 151 Residence near Sheikh Zayed 718,Boats,YES,YES,2300,,,,
69,OFFER! 50% OFF! I am very cool and sleep 6!,Luxury tents,YES,NO,6500,,,,
70,Serene 1 Bedroom Apartment Gem,Bed and breakfasts,NO,NO,8600,,,,
71,"Studio with Balcony and Burj Views 421 pool, jacuzzi, steam room, sauna, prayer room, grocery delivery",Campsites,NO,YES,5200,,,,
72,Cosy Studio with Canal Views by Orion Short Stays - 521 Monthly Offer,Capsule hotels,YES,YES,6500,,,,
73,Upscale Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,Capsule hotels,YES,YES,2300,,,,
74,Enchanting Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,Homestays,YES,YES,6500,,,,
75,Palm Jumeirah 2BR Close to sea,Guest houses,YES,NO,8600,,,,
76,"Keysplease Modern Beach Studio Murjan 2, JBR P60A",Hostels,NO,NO,5200,,,,
77,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Boats,NO,YES,6500,,,,
78,Vogue JVC - Regina Tower,Luxury tents,YES,YES,2300,,,,
79,Work/Relaxation Blend Apartment,Bed and breakfasts,YES,YES,6500,,,,
80,Fantastic 3BR Villa - Albizia Damac Hills 2,Campsites,YES,YES,8600,,,,
81,Keysplease Lovely 1 BR Apt 151 Residence Near Sheikh Zayed 804,Capsule hotels,YES,NO,5200,,,,
82,"Primestay - DAMAC Zada Tower, Business Bay",Villas,NO,NO,6500,,,,
83,NEW! Trendy & Chic 1B Apartment Dubai DIFC,Holiday homes,NO,YES,2300,,,,
84,Brand New 2 BR w King Beds Free Parking and Wifi,Resorts,YES,YES,6500,,,,
85,"Peaceful Studio in MYKA, Near City Center Meaisem",Homestays,YES,YES,8600,,,,
86,Marina Metro Upgraded Furnished Studio by EasyGo,Guest houses,YES,YES,5200,,,,
87,Luxury 1 Bedroom and Hall with pool view,Hostels,YES,NO,6500,,,,
88,Key View - Bay Central Tower 1,Boats,NO,NO,2300,,,,
89,"Key View - Panaromic Tower, Dubai Marina",Luxury tents,NO,YES,6500,,,,
90,Elegant One Bed Room Apartment,Bed and breakfasts,YES,YES,8600,,,,
91,Charming Condo With Balcony Near Dubai Hills Park,Campsites,YES,YES,5200,,,,
92,Luxurious 3bhk Villa in Dubai,Capsule hotels,YES,YES,6500,,,,
93,Modern and stylish 1 bedroom in Belgravia Heights 1 jvc,Homestays,YES,NO,2300,,,,
94,Colorful Apartment with a Gorgeous Marina View,Guest houses,NO,NO,6500,,,,
95,Silkhaus The Greens neighborhood newly furnished 1BDR,Hostels,NO,YES,8600,,,,
96,GuestReady - Lux interiors in Dubai Marina,Boats,YES,YES,5200,,,,
97,Relaxing Golf Retreat by Suiteable Interiors,Luxury tents,YES,YES,6500,,,,
98,LHG PALM JUMEIRAH Tallest RoofTop Pool,Bed and breakfasts,YES,YES,2300,,,,
99,Cozy studio in al mamzar,Campsites,YES,NO,6500,,,,
100,"Modern Elegance, Panoramic Views -brand New 1 Bd",Capsule hotels,NO,NO,8600,,,,
101,Splendid Studio At Blue Wave Tower Dubailand by Deluxe Holiday Homes,Boats,NO,YES,5200,,,,
102,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Luxury tents,YES,YES,6500,,,,
103,GuestReady - Rose Tint Eyes in Business Bay,Bed and breakfasts,YES,YES,2300,,,,
104,One Bedroom Apartment- IMPZ,Campsites,YES,YES,6500,,,,
105,Burj Al Arab Lamtara by EasyGo,Capsule hotels,YES,NO,8600,,,,
106,GuestReady - Stunning canal and Burj Khalifa view,Homestays,NO,NO,5200,,,,
107,Key View - Botanica Tower,Guest houses,NO,YES,6500,,,,
108,Letstay - Peaceful Apartment With Pool Views in Cappadocia,Hostels,YES,YES,2300,,,,
109,Enjoy modern and trendy apt at the heart of Dubai,Boats,YES,YES,6500,,,,
110,Waterfront Marina Promenade Premium By Your Perfect Short Lets Dubai With Luxury Balcony Fast WIFI POOL,Luxury tents,YES,YES,8600,,,,
111,Manzil - Large Studio in Downtown Dubai with Burj Khalifa views,Bed and breakfasts,YES,NO,5200,,,,
112,Ravishing 2BR APT with Dazzling Views @Sunrise Bay,Campsites,NO,NO,6500,,,,
113,Luke Stays - Marina Diamond,Capsule hotels,NO,YES,2300,,,,
114,Unique Cosy &Spacious 2BR In Al Sufouh,Villas,YES,YES,6500,,,,
115,Luxury 1bdr in Sobha Creek Vistas Reserve,Holiday homes,YES,YES,8600,,,,
116,Lively Studio at DAMAC Celestia A Dubai South by Deluxe Holiday Homes,Resorts,YES,YES,5200,,,,
117,Key View - Lakeshore Tower 1,Homestays,YES,NO,6500,,,,
118,Primestay - Reehan 1 2BR in Old Town,Guest houses,NO,NO,2300,,,,
119,"Lake View Villa, The Springs Dubai",Hostels,NO,YES,6500,,,,
120,"Studio flat DG089, Close to The Gardens Metro 3 min walkable",Boats,YES,YES,8600,,,,
121,"Silverene Tower B, Dubai Marina - Vacationer",Luxury tents,YES,YES,5200,,,,
122,Modern Living Suites Dubai,Bed and breakfasts,YES,YES,6500,,,,
123,Beautiful 1 bedroom Marina View,Campsites,YES,NO,2300,,,,
124,OFFER! 50%! GIVEN! Cool studio near all you need!,Capsule hotels,NO,NO,6500,,,,
125,Dont book,Homestays,NO,YES,8600,,,,
126,September sale! Evasofia Home at The Address Marina,Guest houses,YES,YES,5200,,,,
127,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Hostels,YES,YES,6500,,,,
128,Rare Holiday Homes offer Pool View Studio in Crescent Tower near City Center Mall - CTA 703,Boats,YES,YES,2300,,,,
129,Letstay - Exclusive Apartment With Pool and City Views,Luxury tents,YES,NO,6500,,,,
130,"RH- Voguish, Studio in Downtown, near Burj Khalifa",Bed and breakfasts,NO,NO,8600,,,,
131,Livbnb Suites - Tailor-Made 1BR - Merano Tower,Campsites,NO,YES,5200,,,,
132,Gracious 1BR at The Pulse Residence Dubai South by Deluxe Holiday Homes,Capsule hotels,YES,YES,6500,,,,
133,Modern Lux 1 Bedroom with Golf Views in DAMAC Hills,Apartments,YES,YES,2300,,,,
134,Phenomenal 2BR with Scenic Sea-View from ALL rooms!,Hotels,YES,YES,6500,,,,
135,Perfect location in Marina View of Marina and City,Villas,YES,NO,8600,,,,
136,SuperHost - Stylish Apartment Facing Creek Harbour,Holiday homes,NO,NO,5200,,,,
137,"Lovely Studio, Fully Upgraded, Partial Lake View",Resorts,NO,YES,6500,,,,
138,Chestertons Go - Burj Vista - Fountain Views,Homestays,YES,YES,2300,,,,
139,Primestay - Mulberry B1 Dubai Hills Estate,Guest houses,YES,YES,6500,,,,
140,Primestay - Mirdif Hills C,Hostels,YES,YES,8600,,,,
141,Primestay - Creekside 18B in Creek Harbour,Boats,YES,NO,5200,,,,
142,Charming 1BR at Al Khail Heights Al Quoz by Deluxe Holiday Homes,Luxury tents,NO,NO,6500,,,,
143,Lavish 1-BR Apartment Near Burj ALArab at Rahaal 2,Bed and breakfasts,NO,YES,2300,,,,
144,"Keysplease Luxury 1 BR Creek Gate Apt, Creek Harbour",Campsites,YES,YES,6500,,,,
145,Remarkable Studio at The Manhattan Jumeirah Village Circle by Deluxe Holiday Homes,Capsule hotels,YES,YES,8600,,,,
146,"Fully-furbished, modern apartment in Business Bay.",Homestays,YES,YES,5200,,,,
147,Rare Holiday Homes Offering you a Stylish Studio Close to Mall in Crescent Tower -R1611 IMPZ,Guest houses,YES,NO,6500,,,,
148,"Keysplease Beautiful, Modern 3 B/R Bluewaters Island",Hostels,NO,NO,2300,,,,
149,Peaceful 1BR at Binghatti Avenue Al Jaddaf by Deluxe Holiday Homes,Boats,NO,YES,6500,,,,
150,"SHH - Furnished Studio in Azizi Samia, Al Furjan",Luxury tents,YES,YES,8600,,,,
151,GuestReady - Beautiful Getaway near Dubai Canal,Bed and breakfasts,YES,YES,5200,,,,
152,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Campsites,YES,YES,6500,,,,
153,Welcoming Studio in Damac Hills Carson B,Capsule hotels,YES,NO,2300,,,,
154,Luxe Studio at The Pulse Residence Icon A2 Dubai South by Deluxe Holiday Homes,Villas,NO,NO,6500,,,,
155,Keyview - Lakeside C,Holiday homes,NO,YES,8600,,,,
156,Pristine & Comfort 1 Bed in JVC,Resorts,YES,YES,5200,,,,
157,Sophisticated 1BR at Town Square Rawda Dubailand by Deluxe Holiday Homes,Homestays,YES,YES,6500,,,,
158,Lovely One bedroom with Pool and Gym,Guest houses,YES,YES,2300,,,,
159,"Cheerful 3BR Townhouse at DAMAC Hills 2, Dubailand by Deluxe Holiday Homes",Hostels,YES,NO,6500,,,,
160,Elegantly Designed Studio at Sobha Hartlands,Boats,NO,NO,8600,,,,
161,Urban 1BR at Binghatti Stars Dubai Silicon Oasis by Deluxe Holiday Homes,Luxury tents,NO,YES,5000,,,,
162,Hashtag Holiday Home - 2 BDR apartment close to beach JBR,Bed and breakfasts,YES,YES,2540,,,,
163,ALH Vacay - IMPZ Lago Vista C,Campsites,YES,YES,6560,,,,
164,ALH Vacay - DAMAC Celestia B Dubai South,Capsule hotels,YES,YES,2300,,,,
165,Refreshing Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Homestays,YES,NO,6500,,,,
166,Jovial Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Guest houses,NO,NO,8600,,,,
167,"Silkhaus gorgeous 1BDR home with Canal views, pool & gym access",Hostels,NO,YES,5200,,,,
168,Restful Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Boats,YES,YES,6500,,,,
169,Redmenn1 bed 5min to the beach,Luxury tents,YES,YES,2300,,,,
170,Cosy Brand New Studio in Business Bay,Bed and breakfasts,YES,YES,6500,,,,
171,GuestReady - Afterlight Roses,Campsites,YES,NO,8600,,,,
172,Keysplease Murjan 2 One Bedroom w Balcony 59B,Capsule hotels,NO,NO,5200,,,,
173,Superb Studio at Damac Celestia A Dubai South By Deluxe Holiday Homes,Boats,NO,YES,6500,,,,
174,"Holiday Boulevard - One Bedroom Apartment with Sofa Bed, Pool, Gym, Balcony Views",Luxury tents,YES,YES,2300,,,,
175,Ornate 2BR at Ocean Heights Dubai Marina By Deluxe Holiday Homes,Bed and breakfasts,YES,YES,6500,,,,
176,Elegant 1BR at UNA B Town Square Dubailand By Deluxe Holiday Homes,Campsites,YES,YES,8600,,,,
177,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Capsule hotels,YES,NO,5200,,,,
178,KeyOne - Studio in Al Jawhara 1,Homestays,NO,NO,6500,,,,
179,"Affluent 3BR Townhouse at DAMAC Hills 2, Dubailand by Deluxe Holiday Homes",Guest houses,NO,YES,2300,,,,
180,Modern Chic 1 Bedroom Apartment - Discovery Gardens,Hostels,YES,YES,6500,,,,
181,GuestReady - The Aquatic Blossom,Boats,YES,YES,8600,,,,
182,Charming Studio at Al Jawhara Tower Jumeirah Village Triangle by Deluxe Holiday Homes,Luxury tents,YES,YES,5000,,,,
183,Cosmopolitan Studio at Signature Livings North JVC by Deluxe Holiday Homes,Bed and breakfasts,YES,NO,2540,,,,
184,Urban Studio at UNA Town Square Dubailand By Deluxe Holiday Homes,Campsites,NO,NO,6560,,,,
185,Silkhaus cozy studio in heart of DIFC Burj Daman,Capsule hotels,NO,YES,6500,,,,
186,"151 Residences Studios, Jumeirah Garden City, Sheikh Zayed Rd 812",Villas,YES,YES,8600,,,,
187,Serene Studio in Elite Residences 4 Sports City by Deluxe Holiday Homes,Holiday homes,YES,YES,5200,,,,
188,Elegant Studio in Al Jawhara Tower by Deluxe Holiday Homes,Resorts,YES,YES,6500,,,,
189,Ideal 1BR at The Pulse Residence Icon A1 Dubai South by Deluxe Holiday Homes,Homestays,YES,NO,2300,,,,
190,Fresh 1BR at Safi 1B Town Square Dubailand by Deluxe Holiday Homes,Guest houses,NO,NO,6500,,,,
191,Welcoming Studio at Ghalia Jumeirah Village Circle by Deluxe Holiday Homes,Hostels,NO,YES,8600,,,,
192,Spell-binding 3BR Townhouse at DAMAC Hills 2 Dubailand by Deluxe Holiday Homes,Boats,YES,YES,5200,,,,
193,Charismatic 3BR Townhouse at DAMAC Hills 2 Dubailand by Deluxe Holiday Homes,Luxury tents,YES,YES,6500,,,,
194,Modern Studio at Bayz by Danube Business Bay by Deluxe Holiday Homes,Bed and breakfasts,YES,YES,2300,,,,
195,Alluring 1BR at The Pulse Blvd C3 Dubai South by Deluxe Holiday Homes,Campsites,YES,NO,6500,,,,
196,Lovely 1 bedroom vacation home in Dubai Marina,Capsule hotels,NO,NO,8600,,,,
197,The 5242 Tower 1 Dubai Marina - AL Maraseem,Homestays,NO,YES,5200,,,,
198,Sleek Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Guest houses,YES,YES,6500,,,,
199,Radiant Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Hostels,YES,YES,2300,,,,
200,GuestReady - The Wandering Oasis in Town Square,Boats,YES,YES,6500,,,,
201,Glamorous Studio at Binghatti Stars Dubai Silicon Oasis by Deluxe Holiday Homes,Luxury tents,YES,NO,8600,,,,
202,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Bed and breakfasts,NO,NO,5200,,,,
203,Chic Studio at UNA B Town Square by Deluxe Holiday Homes,Campsites,NO,YES,6500,,,,
204,Restful Studio at Celestia A Dubai South by Deluxe Holiday Homes,Capsule hotels,YES,YES,2300,,,,
205,Radiant Studio at Giovanni Boutique Suites DSC by Deluxe Holiday Homes,Capsule hotels,YES,YES,6500,,,,
206,Peaceful 1BR at MAG 505 Dubai South by Deluxe Holiday Homes,Homestays,YES,YES,8600,,,,
207,Calm 3BR Townhouse at Damac Hills 2 Dubailand by Deluxe Holiday Homes,Guest houses,YES,NO,5000,,,,
208,Attractive Studio at Bloom Towers JVC by Deluxe Holiday Homes,Hostels,NO,NO,2540,,,,
209,Tranquil Studio at Madison Astor Mohammed Bin Rashid City by Deluxe Holiday Homes,Boats,NO,YES,6560,,,,
210,Cordial 1BR at Celestia B Dubai South by Deluxe Holiday Homes,Luxury tents,YES,YES,2300,,,,
211,Stella Stays Mesmerising 1 BDR Dubai JVC Private Balcony,Bed and breakfasts,YES,YES,6500,,,,
212,Sunny 1BR at Canal Residences West Dubai Sports City by Deluxe Holiday Homes,Campsites,YES,YES,8600,,,,
213,Stella Stays Divine Studio Dubai JVC Private Balcony,Capsule hotels,YES,NO,5200,,,,
214,Stella Stays Charming 1 BDR Dubai JVC Private Balcony,Villas,NO,NO,6500,,,,
215,Cozy Studio in Damac Celestia A Dubai South by Deluxe Holiday Homes,Holiday homes,NO,YES,2300,,,,
216,Snug 1BR at MAG 520 Dubai South by Deluxe Holiday Homes,Resorts,YES,YES,6500,,,,
217,Chic 1BR in Town Square UNA Dubailand by Deluxe Holiday Homes,Homestays,YES,YES,8600,,,,
218,Gentle Studio in Uniestate Sports Tower Dubai Sports City by Deluxe Holiday Homes,Guest houses,YES,YES,5200,,,,
219,Stella Stays Cheerful 1 BDR Dubai JVC Private Balcony,Hostels,YES,NO,6500,,,,
220,Stella Stays Bright 2 BDR Dubai JVC Private Balcony,Boats,NO,NO,2300,,,,
221,Urban Studio in Pantheon Elysee JVC by Deluxe Holiday Homes,Luxury tents,NO,YES,6500,,,,
222,Gleeful 1BR in Bella Rose Al Barsha South by Deluxe Holiday Homes,Bed and breakfasts,YES,YES,8600,,,,
223,Sleek Studio Apartment at Celestia Dubai South by Deluxe Holiday Homes,Campsites,YES,YES,5200,,,,
224,Sleek 1BR Apartment at Celestia Dubai South by Deluxe Holiday Homes,Capsule hotels,YES,YES,6500,,,,
225,"Exceptional 1BR in MAG 5, Emaar South by Deluxe Holiday Homes",Homestays,YES,NO,2300,,,,
226,Spacious Studio - Sports city - Diamond,Guest houses,NO,NO,6500,,,,
227,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Hostels,NO,YES,8600,,,,
228,BELLEVUE Downtown Dubai,Boats,YES,YES,5000,,,,
229,FAM Living - Park Towers - DIFC,Luxury tents,YES,YES,2540,,,,
230,"One Perfect Stay - Executive Tower, Business bay",Bed and breakfasts,YES,YES,6560,,,,
231,Restful 1BR at Mediterranean Discovery Gardens by Deluxe Holiday Homes,Campsites,YES,NO,6500,,,,
232,"Bright Furnished Studio Apartment, JLT",Capsule hotels,NO,NO,8600,,,,
233,Spacious 2BR in Marina Near Beach,Boats,NO,YES,5200,,,,
234,FAM Living - REVA Residences - Weekly and Monthly Offers,Luxury tents,YES,YES,6500,,,,
235,Cozy 1BR at Torch Tower Dubai Marina by Deluxe Holiday Homes,Bed and breakfasts,YES,YES,2300,,,,
236,1BR Apartment in Zada Tower - Close to Metro,Campsites,YES,YES,6500,,,,
237,Cozy apartment with a pool view,Capsule hotels,YES,NO,8600,,,,
238,AWS Homes - Studio w high speed WI-FI & Pool at Azizi Star,Homestays,NO,NO,5000,,,,
239,Coastal Bay 1 Bedroom,Guest houses,NO,YES,2540,,,,
240,Urban Studio at The Square Tower Jumeirah Village Circle by Deluxe Holiday Homes,Hostels,YES,YES,6560,,,,
241,Pristine Studio at Bayz by Danube Business Bay by Deluxe Holiday Homes,Boats,YES,YES,2300,,,,
242,Brand new stylish Studio in Belgravia Heights 1 JVC,Luxury tents,YES,YES,6500,,,,
243,Ivory Dew 1 Bedroom Apartment,Bed and breakfasts,YES,NO,8600,,,,
244,Brand New Villa,Campsites,NO,NO,5200,,,,
245,Prime Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,Capsule hotels,NO,YES,6500,,,,
246,GuestReady - Family Apt in Riviera,Villas,YES,YES,2300,,,,
247,5 Star hotel resort style living!,Holiday homes,YES,YES,6500,,,,
248,JRR Stays - Bloom Tower C1708 - Jumeirah Village Circle - Dubai JVC,Resorts,YES,YES,8600,,,,
249,Brand New Marina Opal Huge 1BR,Homestays,YES,NO,5200,,,,
250,Lovely studio in Business Bay,Guest houses,NO,NO,6500,,,,
251,GuestReady - An endless place in Dubai Marina,Hostels,NO,YES,2300,,,,
252,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Boats,YES,YES,6500,,,,
253,Silkhaus Marina view 1BDR newly furnished with pool & gym access,Luxury tents,YES,YES,8600,,,,
254,Dreamy 2BR at Marina Pinnacle Dubai Marina by Deluxe Holiday Homes,Bed and breakfasts,YES,YES,5200,,,,
255,Superb 1 bedroom apartment with all the amenities,Campsites,YES,NO,6500,,,,
256,Stylish 1-bedroom Downtown Dubai,Capsule hotels,NO,NO,2300,,,,
257,Amazing studio apartment,Homestays,NO,YES,6500,,,,
258,Silkhaus aesthetic studio in Art Gardens with gym & pool access,Guest houses,YES,YES,8600,,,,
259,Dar Vacation - Best Magnificent Front Palm View 2BR Apartment,Hostels,YES,YES,5000,,,,
260,Welcoming 2BR at MAG 535 Dubai South by Deluxe Holiday Homes,Boats,YES,YES,2540,,,,
261,GuestReady - Urban Delights near the Water Canal,Luxury tents,YES,NO,6560,,,,
262,Alashrafia Saray - Wonderful 1BR in Sports City,Bed and breakfasts,NO,NO,6500,,,,
263,Stunning studio with Balcony with Marina view,Campsites,NO,YES,8600,,,,
264,Brand New & Luxuriously Furnished 1 Bedroom Home,Capsule hotels,YES,YES,5200,,,,
265,"OFFER! 50% OFF! Book me, I've got Marina views",Apartments,YES,YES,6500,,,,
266,Captivating Studio At Blue Wave Tower Dubailand by Deluxe Holiday Homes,Hotels,YES,YES,2300,,,,
267,"Rare Holiday Homes offers Stunning studio in Damac Hills, Golf Course Community - Carson Tower A R3110",Villas,YES,NO,6500,,,,
268,Serene 1BR at Hameni Tower JVC by Deluxe Holiday Homes,Holiday homes,NO,NO,8600,,,,
269,Snug Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Resorts,NO,YES,5200,,,,
270,Sunny Studio at Azizi Samia Jebel Ali by Deluxe Holiday Homes,Homestays,YES,YES,6500,,,,
271,Best Closed Partition Room in Al Barsha-1 Near MOE Metro,Guest houses,YES,YES,2300,,,,
272,1 and Half bedroom Apartment,Hostels,YES,YES,6500,,,,
273,Primestay - Le Pont 3 2BR in Port de La Mer,Boats,YES,NO,8600,,,,
274,Fresh 2BR at Mudon Views 4 Dubailand by Deluxe Holiday Homes,Luxury tents,NO,NO,5200,,,,
275,Vacay Lettings - 1BHK convertible to 2BHK in Business Bay II,Bed and breakfasts,NO,YES,6500,,,,
276,Luxury apartment Stunning views,Campsites,YES,YES,2300,,,,
277,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Capsule hotels,YES,YES,6500,,,,
278,Luxury 1 Bedroom Apartment at DAMAC Celestia by Deluxe Holiday Homes,Homestays,YES,YES,8600,,,,
279,360 Vacation - Studio at DAMAC Maison Cour Jardin,Guest houses,YES,NO,5200,,,,
280,LUXFolio Retreats Bloom Mint Green,Hostels,NO,NO,6500,,,,
281,Rare Holiday Homes - Studio in Crescent Tower Pool Facing near City Centre Mall in IMPZ - CTA 1004,Boats,NO,YES,2300,,,,
282,Studio w amazing skyscraper view in Elite Residence 1 Downtown,Luxury tents,YES,YES,6500,,,,
283,"Restful 3BR Townhouse at DAMAC Hills 2, Dubailand by Deluxe Holiday Homes",Bed and breakfasts,YES,YES,8600,,,,
284,Dream House Hostel G06 P 01,Campsites,YES,YES,5000,,,,
285,Brand New Studio in Dubai Sports City,Capsule hotels,YES,NO,2540,,,,
